map_no,template_no,question,ground_truth,c_or_d,relative_region (y/n),comments,type (Single/list/Binary/Count/Range etc),type,
4_3C,9,Does the value of state Tibet fall in range -30 - -20?,No,,N,,,Binary,
4_3C,5,Yes or no: the legend has multiple distinct colours?,No,,N,,,Binary,
4_3C,24,Yes or no: the median state value in region bordering Tibet lies between -10 and 10.,Yes,,Y,,,Binary,
4_3C,17,Count the states with the values in range -40 - -30 in the region bordering Xinjiang.,0,,Y,,,Count,
4_3C,23,How many states in region bordering Tibet have a value lower than -20?,0,,Y,,,Count,
4_3C,16,Between which two legend markings does state Xinjiang fall in?,-10 - 0,,N,,,Range,
4_3C,21,Yes or no: state Xinjiang has the highest value in the northwest region.,No,,N,,,Binary,
4_3C,11,Which states in the region bordering Mongolia belong to range >20?,Gansu,,N,,,List,
4_3C,7,Is the legend continuous or discrete?,Continuous,,N,,,Single,
4_3C,39,Yes or no: all states in region bordering South China Sea have values above -10.,Yes,,Y,,,Binary,
5_4C,13,Which state has the highest value in the region bordering Vietnam?,Yunnan,,Y,,,Single,
5_4C,43,"Rank the states Heilongjiang, Jilin and Liaoning in terms of the legend value in the northeast region.",Jilin < Heilongjiang < Liaoning,,N,,,Rank,
5_4C,3,What is the overall range of the legend?,4.5 - >7,,N,,,Range,
5_4C,28,Which state in the region bordering Laos have the closest value to Sichuan?,Yunnan,,Y,,,List,
5_4C,20,Name the East-most state that has a higher value compared to all its neighbours.,Heilongjiang,,Y,,,Single,
5_4C,28,Which state in the region bordering North Korea have the furthest value to Sichuan?,Jilin,,N,,,List,
5_4C,18,Yes or no: the value of the state Guangdong is higher to its neighbouring state Guangxi.,No,,Y,,,Binary,
5_4C,7,Is the legend continuous or discrete?,Continuous,,N,,,Single,
5_4C,24,Yes or no: the median state value in the region bordering Myanmar lies between 20 and 30.,No,,Y,,,Binary,
5_4C,33,Yes or no: Qinghai and Tibet are the pair of bordering states with the highest difference.,No,,Y,,,Binary,
6_2D,42,"Yes/No: Xinjiang has a higher value than Tibet, and also has a higher value than Qinghai",Yes,,N,,,Binary,
6_2D,6,Yes or no: the map depicts percentages.,No,,N,,,Binary,
6_2D,2,Yes or no: in the legend the colour darkness is directly proportional to the value.,Yes,,N,,,Binary,
6_2D,27,Which states in the region bordering Vietnam have a value higher than Guangdong?,None,,Y,,,List,
6_2D,33,Yes or no: Guangdong and Guangxi are the pair of bordering states with the highest difference.,No,,Y,,,Binary,
6_2D,30,Does Yunnan have the most different value to Guangxi amongst the states in the region bordering Vietnam.,No,,Y,,,Binary,
6_2D,12,What is the highest value range in the region bordering North Korea?,4.6 - 26.7,,N,,,Range,
6_2D,32,Yes or no: Hainan is an outlier compared to other states in the region bordering South China Sea.,No,,Y,,,Binary,
6_2D,5,Yes or no: the legend has multiple distinct colours?,Yes,,N,,,Binary,
6_2D,37,Which state in the region bordering Mongolia borders at least 2 states from range -22.81 - -1.4?,Inner Mongolia,,N,,,Single,
8_0D,38,Yes or no: the value of state Xinjiang is below the median value amongst states in the region bordering Tibet.,No,,Y,,,Binary,
8_0D,28,Which states in the region of the Tibetan Plateau have the same value to Yunnan?,Gansu,,N,,,List,
8_0D,22,Yes or no: States of region South China have higher values on average than states of region North China.,Yes,,N,,,Binary,
8_0D,8,Which class has the largest range of values?,0.66 - 8.76,,N,,,Range,
8_0D,40,Which pair of states belonging to the range N/A are the closest to each other?,None,,N,,,List,
8_0D,13,Which state has the highest value in the region of North China?,-0.28 - 0.66,,N,,,Single,
8_0D,20,Name the northmost state that belongs a higher value range compared to all its neighbours.,Beijing,,Y,,,Single,
8_0D,17,Count the states with the values in range -5.76 - -1.91 in the region South China.,0,,N,,,Count,
8_0D,41,Are the legends evenly spaced?,No,,N,,,Single,
8_0D,3,What is the overall range of the legend?,-5.76 - 8.76,,N,,,Range,
8_0D,7,Is the legend discrete or continuous?,Discrete,,N,,,Single,
11_5D,18,Yes or no: the value of the Xinjiang is higher than its neighbouring state Tibet.,Yes,,Y,,,Binary,
11_5D,9,Does state Tibet fall in range 10.35 - 307.49?,Yes,,N,,,Binary,
11_5D,35,How many states in region Eastern China have a value lower than state Guangdong?,2,,N,,,Count,
11_5D,43,"Rank the states Sichuan, Yunnan and Guizhou in terms of the legend value in region Southwestern China.",Guizhou < Yunnan < Sichuan,,N,,,Rank,
11_5D,15,List the state in the region Southern China with the highest values.,Guangdong,,N,,,List,
11_5D,23,How many states in region Northern China have a value higher than 1222.33?,1,,N,,,Count,
11_5D,24,Yes or no: the median state range in region bordering Mongolia is 307.49 - 670.77.,No,,N,,,Binary,
11_5D,34,Yes or no: Xinjiang is the West-most state that has a higher value compared to all its neighbours.,Yes,,Y,,,Binary,
11_5D,31,Yes or no: a majority of states in region Northeastern China belong to range 1222.33 - 2232.68.,No,,N,,,Binary,
11_5D,39,Yes or no: all states in region Southern China have values above 307.49.,Yes,,N,,,Binary,
14_0D,26,Which states in the region bordering Inner Mongolia have a value lower than 17087.45?,4,,N,,,List,
14_0D,11,Which states in region bordering Xinjiang belong to range 17087.45 - 28826.1?,0,,Y,,,List,
14_0D,1,How many distinct categories does the legend contain?,5,,N,,,Count,
14_0D,4,What value range does the darkest shade represent?,2150.19 - 17087.45,,N,,,Range,
14_0D,36,Name the East-most state in the range 28826.1 - 49661.85.,Shanghai,,N,,,Single,
14_0D,25,What is the median range of the states in region Southwest China?,17087.45 - 28826.1,,N,,,Range,
14_0D,29,Which range has the smallest number of states?,2150.19 - 17087.45,,N,,,Range,
14_0D,21,Yes or no: state Sichuan has the highest value in region Southwest China.,Yes,,N,,,Binary,
14_0D,19,Yes or no: the value of the state Guizhou is higher than state Hunan.,No,,N,,,Binary,
14_0D,7,Is the legend discrete or continuous?,Discrete,,N,,,Single,
6_1C,13,Which state has the highest value in the region bordering Vietnam?,Guangxi,,Y,,,Single,
6_1C,23,How many states in the region bordering the South China Sea have a value lower than -15?,0,,Y,,,Count,
6_1C,9,Does the value of Qinghai fall in range 10 - 15?,No,,N,,,Binary,
6_1C,42,"Yes/No: Sichuan has a higher value than Hubei, and also has a higher value than Hunan",No,,N,,,Binary,
6_1C,16,Between which two legend markings does Xinjiang fall in?,10 - 15,,N,,,Range,
6_1C,6,Yes or no: the map depicts percentages.,No,,N,,,Binary,
6_1C,38,Yes or no: the value of Shandong is above the median value amongst states in the region bordering the Yellow Sea.,No,,Y,,,Binary,
6_1C,40,Which pair of states belonging to the range 10 - 15 are the closest to each other?,"Xinjiang, Guangxi",,N,,,List,
6_1C,2,Yes or no: in the legend the colour darkness is directly proportional to the value.,Yes,,N,,,Binary,
6_1C,5,Yes or no: the legend has multiple distinct colours?,Yes,,N,,,Binary,
8_6C,22,Yes or no: States bordering Tibet have higher values on average than states of the region surrounding Beijing.,Yes,,Y,,,Binary,
8_6C,17,Count the states with the values in range 0 - 2 in the region bordering Inner Mongolia.,3,,N,,,Count,
8_6C,15,List the 3 states in the region bordering Xinjiang with the highest values.,"Tibet, Qinghai, Gansu",,Y,,,List,
8_6C,32,Yes or no: state Hainan is an outlier compared to other states in the region bordering South China Sea,No,,Y,,,Binary,
8_6C,19,Yes or no: the value of the state Guangdong is higher than state Guangxi.,No,,N,,,Binary,
8_6C,26,Which states in region bordering Sichuan have a value higher than 8?,Tibet,,Y,,,List,
8_6C,11,Which states in the region east of the country belong to range <0?,None,,N,,,List,
8_6C,20,Name the Northmost state that has a higher value compared to all its neighbours.,Xinjiang,,Y,,,Single,
8_6C,24,Yes or no: the median state value in region bordering Hunan lies between 4 and 8.,Yes,,Y,,,Binary,
8_6C,21,Yes or no: state Shandong has the lowest value in region bordering the Yellow Sea.,No,,Y,,,Binary,
8_6C,6,Yes or no: the map depicts percentages.,No,,N,,,Binary,
8_6C,7,Is the legend continuous or discrete?,Continuous,,N,,,Single,
